member_casual,month,rides,avg_ride_length
casual,January,23405,11.973313331910283
casual,February,27003,12.381230589196809
casual,March,82864,17.88536645790415
casual,April,105260,18.65563194772393
casual,May,175655,20.83174745201414
casual,June,278702,21.90867922045657
casual,July,308496,21.528656684473358
casual,August,307570,22.521671335897608
casual,September,334223,19.271616107461817
casual,October,210224,20.249633910412207
casual,November,90590,16.373552242140196
casual,December,37360,13.836938655429721
member,January,112331,9.979502665204164
member,February,122097,9.957845979163627
member,March,208458,11.129125084099782
member,April,257921,11.273498388264525
member,May,313996,11.900135128048275
member,June,379523,12.84652697447313
member,July,430421,13.176803790043424
member,August,430290,13.100125607963598
member,September,465612,12.127306991161724
member,October,394666,11.818929152840616
member,November,238773,10.927697362072031
member,December,137569,10.610597600001071
